Chr	Start	End	Name	Null	Strand	ExcludedBases	Coverage	IntronDepth	IntronDepth25Percentile	IntronDepth50Percentile	IntronDepth75Percentile	ExonToIntronReadsLeft	ExonToIntronReadsRight	IntronDepthFirst50bp	IntronDepthLast50bp	SpliceLeft	SpliceRight	SpliceExact	IRratio	Warnings
2	242871	244626	SH3YL1/ENSG00000035115/clean	0	-	210	0.258252	0	0	0	1	1	5	0.55	0	18	0	0	0.0141444	LowCover
2	242871	247537	SH3YL1/ENSG00000035115/clean	0	-	462	0.124881	0	0	0	0	1	0	0.55	0	18	115	8	0.00108474	LowCover
2	243562	247537	SH3YL1/ENSG00000035115/clean	0	-	392	0.106894	0	0	0	0	2	0	0	0	3	115	3	0.000928647	LowCover
2	244738	247537	SH3YL1/ENSG00000035115/clean	0	-	140	0.0473862	0	0	0	0	5	0	5	0	0	115	0	0.000411885	LowCover
2	247602	249730	SH3YL1/ENSG00000035115/clean	0	-	10	0	0	0	0	0	0	0	0	0	162	162	162	0	-
2	249844	253004	SH3YL1/ENSG00000035115/clean	0	-	10	0	0	0	0	0	0	0	0	0	210	210	210	0	-
2	253115	256206	SH3YL1/ENSG00000035115/clean	0	-	341	0	0	0	0	0	0	3	0	0	191	4	4	0	LowCover
2	253115	260084	SH3YL1/ENSG00000035115/clean	0	-	1497	0.223319	0	0	0	0	0	0	0	0	191	0	0	0.00116784	LowCover
2	256690	260084	SH3YL1/ENSG00000035115/clean	0	-	672	0.448935	0.398165	0	0	3	11	0	2.95	0	0	0	0	1	LowCover
2	261130	262200	SH3YL1/ENSG00000035115/clean	0	-	203	0.239908	0	0	0	0	1	0	0.8	0	0	0	0	0	LowCover
2	262750	263210	SH3YL1/ENSG00000035115/clean	0	-	46	0.603865	4.55422	0	6	6	3	0	1.4	4.2	6	0	0	0.431507	LowCover
2	263372	263563	SH3YL1/ENSG00000035115/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	264498	264722	ACP1/ENSG00000143727/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	265007	271865	ACP1/ENSG00000143727/clean	0	+	151	0.0690324	0	0	0	0	40	2	20	1.3	3320	3344	3311	2.06432e-05	NonUniformIntronCover
2	265278	271865	ACP1/ENSG00000143727/clean	0	+	67	0.0618098	0	0	0	0	0	2	0	1.3	6	3344	6	1.84835e-05	LowCover
2	271939	272036	ACP1/ENSG00000143727/clean	0	+	10	0	0	0	0	0	3	0	0	0	2869	2565	2565	0	NonUniformIntronCover
2	275201	276979	ACP1/ENSG00000143727/clean	0	+	10	0.744344	4.60028	0	4	12	13	22	2	19	1219	1218	1211	0.00375963	NonUniformIntronCover
2	277085	277226	ACP1/ENSG00000143727/clean	0	+	10	0.816794	5	5	5	5	12	5	2.75	5	1352	1360	1352	0.003663	NonUniformIntronCover
2	280149	283110	ALKAL2/ENSG00000189292/clean	0	-	13	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	283175	286122	ALKAL2/ENSG00000189292/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	286203	286289	ALKAL2/ENSG00000189292/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	286343	286869	ALKAL2/ENSG00000189292/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	286343	287162	ALKAL2/ENSG00000189292/clean	0	-	70	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	286343	287582	ALKAL2/ENSG00000189292/clean	0	-	241	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	287892	288012	ALKAL2/ENSG00000189292/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	287892	288552	ALKAL2/ENSG00000189292/clean	0	-	99	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	669675	669756	TMEM18/ENSG00000151353/clean	0	-	10	0	0	0	0	0	8	0	0	0	748	748	748	0	NonUniformIntronCover
2	669850	672807	TMEM18/ENSG00000151353/clean	0	-	490	0.548034	1.38197	0	2	3	1	2	1.35	2	395	392	392	0.00348645	-
2	672862	675509	TMEM18/ENSG00000151353/clean	0	-	10	0.274934	0	0	0	1	23	0	0	0	304	299	299	0.00090357	NonUniformIntronCover
2	675630	675757	TMEM18/ENSG00000151353/clean	0	-	10	1	9.14894	8	9	10	28	2	11.8	7.55	1137	16	16	0.00798233	MinorIsoform
2	951068	1083517	SNTG2/ENSG00000172554/clean	0	+	4890	0.00108185	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1083655	1098195	SNTG2/ENSG00000172554/clean	0	+	820	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1083655	1209102	SNTG2/ENSG00000172554/clean	0	+	10980	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1098252	1098352	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1098410	1137621	SNTG2/ENSG00000172554/clean	0	+	4263	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1102710	1103404	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1103442	1137621	SNTG2/ENSG00000172554/clean	0	+	3970	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1137665	1137767	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1137809	1165547	SNTG2/ENSG00000172554/clean	0	+	2006	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1163289	1165547	SNTG2/ENSG00000172554/clean	0	+	463	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1163725	1165547	SNTG2/ENSG00000172554/clean	0	+	290	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1165635	1173091	SNTG2/ENSG00000172554/clean	0	+	670	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1173183	1209102	SNTG2/ENSG00000172554/clean	0	+	2820	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1173183	1219881	SNTG2/ENSG00000172554/clean	0	+	3921	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1209230	1210456	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1209230	1237887	SNTG2/ENSG00000172554/clean	0	+	2839	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1209230	1239737	SNTG2/ENSG00000172554/clean	0	+	2979	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1210679	1219881	SNTG2/ENSG00000172554/clean	0	+	740	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1238017	1239737	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1239776	1242737	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1239776	1247326	SNTG2/ENSG00000172554/clean	0	+	560	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1247443	1256404	SNTG2/ENSG00000172554/clean	0	+	60	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1247443	1259369	SNTG2/ENSG00000172554/clean	0	+	270	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1259441	1267364	SNTG2/ENSG00000172554/clean	0	+	126	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1262949	1267364	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1267571	1308493	SNTG2/ENSG00000172554/clean	0	+	220	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1308586	1316264	SNTG2/ENSG00000172554/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1316375	1367342	SNTG2/ENSG00000172554/clean	0	+	5157	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1353864	1367342	SNTG2/ENSG00000172554/clean	0	+	460	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1374402	1404002	TPO/ENSG00000115705/clean	0	+	4520	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1374402	1484595	TPO/ENSG00000115705/clean	0	+	12217	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1404098	1406992	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1407056	1407971	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1413545	1414407	TPO/ENSG00000115705/clean	0	+	41	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1414502	1423044	TPO/ENSG00000115705/clean	0	+	710	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1423129	1433437	TPO/ENSG00000115705/clean	0	+	550	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1433607	1436251	TPO/ENSG00000115705/clean	0	+	150	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1436384	1438815	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1436384	1453693	TPO/ENSG00000115705/clean	0	+	2167	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1453823	1456075	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1456282	1477085	TPO/ENSG00000115705/clean	0	+	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1456282	1484595	TPO/ENSG00000115705/clean	0	+	1679	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1477604	1484595	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1484854	1487820	TPO/ENSG00000115705/clean	0	+	380	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1484854	1493801	TPO/ENSG00000115705/clean	0	+	1051	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1487991	1493801	TPO/ENSG00000115705/clean	0	+	500	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1494039	1495988	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1494039	1503947	TPO/ENSG00000115705/clean	0	+	469	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1494039	1516882	TPO/ENSG00000115705/clean	0	+	4093	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1496197	1496594	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1496765	1503947	TPO/ENSG00000115705/clean	0	+	69	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1496765	1516882	TPO/ENSG00000115705/clean	0	+	3693	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1503825	1503947	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1504079	1516882	TPO/ENSG00000115705/clean	0	+	3492	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1513604	1516882	TPO/ENSG00000115705/clean	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1516982	1540593	TPO/ENSG00000115705/clean	0	+	1900	0	0	0	0	0	0	0	0	0	1	1	1	0	LowCover
2	1540723	1542420	TPO/ENSG00000115705/known-exon	0	+	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1634323	1635407	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	319	319	319	0	-
2	1635521	1638845	PXDN/ENSG00000130508/clean	0	-	10	0.0935425	0	0	0	0	9	0	2	0	366	351	351	0.000255515	NonUniformIntronCover
2	1638978	1639301	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	1	0	0	0	345	360	345	0	-
2	1639422	1643367	PXDN/ENSG00000130508/clean	0	-	200	0.364486	0.173449	0	0	3	6	0	0	0	182	182	182	0.00199867	NonUniformIntronCover
2	1643576	1644617	PXDN/ENSG00000130508/clean	0	-	200	0	0	0	0	0	5	0	0	0	307	307	307	0	NonUniformIntronCover
2	1644752	1645920	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	353	0	0	0	LowCover
2	1644752	1648171	PXDN/ENSG00000130508/clean	0	-	270	0.216894	0	0	0	0	0	0	0	0	353	352	349	0.000614054	-
2	1649675	1653627	PXDN/ENSG00000130508/clean	0	-	562	0.474041	1.15855	0	0	5	0	2	0	2	198	202	198	0.00570271	-
2	1653785	1653915	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	146	0	0	0	LowCover
2	1653785	1654399	PXDN/ENSG00000130508/clean	0	-	85	0	0	0	0	0	0	0	0	0	146	146	146	0	-
2	1654508	1660880	PXDN/ENSG00000130508/clean	0	-	10	0.0985539	0	0	0	0	7	0	0	0	123	123	123	0.00080061	NonUniformIntronCover
2	1661037	1662071	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	122	122	122	0	-
2	1662184	1663604	PXDN/ENSG00000130508/clean	0	-	10	0.14539	0	0	0	0	0	0	0	0	104	104	104	0.00139603	-
2	1663763	1664957	PXDN/ENSG00000130508/clean	0	-	10	0.369088	1.05274	0	0	8	0	0	0	0	71	71	71	0.0146107	-
2	1665074	1666213	PXDN/ENSG00000130508/clean	0	-	10	0.838795	3.58057	2	3	8	0	0	0	2.4	39	39	39	0.0840894	NonUniformIntronCover
2	1666486	1669713	PXDN/ENSG00000130508/clean	0	-	230	0	0	0	0	0	0	0	0	0	66	0	0	0	LowCover
2	1666486	1673642	PXDN/ENSG00000130508/clean	0	-	360	0	0	0	0	0	0	0	0	0	66	66	66	0	-
2	1669833	1673642	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	66	0	0	LowCover
2	1673812	1676269	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	71	0	0	0	LowCover
2	1673812	1676926	PXDN/ENSG00000130508/clean	0	-	329	0	0	0	0	0	0	0	0	0	71	71	71	0	-
2	1677044	1680192	PXDN/ENSG00000130508/clean	0	-	120	0	0	0	0	0	0	0	0	0	96	96	96	0	-
2	1680362	1683655	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	67	67	67	0	-
2	1683727	1684079	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	52	52	52	0	-
2	1684151	1687631	PXDN/ENSG00000130508/clean	0	-	10	0.0867435	0	0	0	0	0	5	0	4	56	41	41	0.0015466	MinorIsoform
2	1684151	1691927	PXDN/ENSG00000130508/clean	0	-	142	0.0453236	0	0	0	0	0	0	0	0	56	48	15	0.000808695	MinorIsoform
2	1687703	1691927	PXDN/ENSG00000130508/clean	0	-	60	0.0108069	0	0	0	0	4	0	4	0	33	48	33	0.000225093	MinorIsoform
2	1691999	1692528	PXDN/ENSG00000130508/clean	0	-	10	0	0	0	0	0	0	0	0	0	34	0	0	0	LowCover
2	1691999	1693062	PXDN/ENSG00000130508/clean	0	-	62	0	0	0	0	0	0	0	0	0	34	34	34	0	-
2	1693134	1744255	PXDN/ENSG00000130508/clean	0	-	4500	0.0118402	0	0	0	0	0	0	0	0	25	27	22	0.000438332	-
2	1693134	1744803	PXDN/ENSG00000130508/clean	0	-	4770	0.01177	0	0	0	0	0	0	0	0	25	0	0	0.000470577	LowCover
2	1791262	1791872	MYT1L/ENSG00000186487/known-exon	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1792007	1792320	MYT1L/ENSG00000186487/known-exon	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1792464	1801689	MYT1L/ENSG00000186487/clean	0	-	370	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1801799	1809075	MYT1L/ENSG00000186487/clean	0	-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1809167	1835047	MYT1L/ENSG00000186487/clean	0	-	2830	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1809167	1839148	MYT1L/ENSG00000186487/clean	0	-	4636	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1817016	1839148	MYT1L/ENSG00000186487/clean	0	-	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1830920	1839148	MYT1L/ENSG00000186487/clean	0	-	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1839370	1840759	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1840843	1842642	MYT1L/ENSG00000186487/known-exon	0	-	440	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1840843	1851640	MYT1L/ENSG00000186487/clean	0	-	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1851703	1886538	MYT1L/ENSG00000186487/clean	0	-	3063	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1851703	1887487	MYT1L/ENSG00000186487/clean	0	-	3215	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1879589	1886538	MYT1L/ENSG00000186487/clean	0	-	1991	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1886607	1887058	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1886607	1887487	MYT1L/ENSG00000186487/clean	0	-	83	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1887121	1887487	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1887609	1889240	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1889477	1892036	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1892287	1903079	MYT1L/ENSG00000186487/clean	0	-	190	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1892287	1922291	MYT1L/ENSG00000186487/clean	0	-	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1892287	1942981	MYT1L/ENSG00000186487/clean	0	-	2844	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1903294	1910239	MYT1L/ENSG00000186487/clean	0	-	180	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1910347	1910470	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1910347	1910746	MYT1L/ENSG00000186487/clean	0	-	101	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1910347	1912019	MYT1L/ENSG00000186487/clean	0	-	317	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1912110	1917204	MYT1L/ENSG00000186487/clean	0	-	20	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1917339	1922285	MYT1L/ENSG00000186487/clean	0	-	80	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1917339	1942981	MYT1L/ENSG00000186487/clean	0	-	1588	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1923260	1942981	MYT1L/ENSG00000186487/clean	0	-	533	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1943334	1979164	MYT1L/ENSG00000186487/clean	0	-	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1943334	1979520	MYT1L/ENSG00000186487/clean	0	-	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1972694	1979164	MYT1L/ENSG00000186487/clean	0	-	1538	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1974751	1979164	MYT1L/ENSG00000186487/clean	0	-	80	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1979227	1979520	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1979554	1979722	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1979777	1997190	MYT1L/ENSG00000186487/clean	0	-	440	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1997347	2002372	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	1997347	2053977	MYT1L/ENSG00000186487/clean	0	-	5798	0.00279352	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2002515	2053977	MYT1L/ENSG00000186487/clean	0	-	5645	0.00309929	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2051426	2053977	MYT1L/ENSG00000186487/clean	0	-	60	0.0570052	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2054123	2172871	MYT1L/ENSG00000186487/clean	0	-	4340	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2172988	2185412	MYT1L/ENSG00000186487/clean	0	-	30	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2172988	2284403	MYT1L/ENSG00000186487/clean	0	-	6122	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2172988	2330966	MYT1L/ENSG00000186487/clean	0	-	10051	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2211777	2284403	MYT1L/ENSG00000186487/clean	0	-	2090	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2284503	2324170	MYT1L/ENSG00000186487/clean	0	-	2474	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2284503	2326035	MYT1L/ENSG00000186487/clean	0	-	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2284503	2330966	MYT1L/ENSG00000186487/clean	0	-	3829	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2304016	2305938	MYT1L/ENSG00000186487/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2304016	2324170	MYT1L/ENSG00000186487/clean	0	-	237	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2304016	2326035	MYT1L/ENSG00000186487/clean	0	-	1063	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2304016	2330966	MYT1L/ENSG00000186487/clean	0	-	1592	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2306155	2330966	MYT1L/ENSG00000186487/clean	0	-	1365	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	2326111	2330966	MYT1L/ENSG00000186487/clean	0	-	453	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	3189508	3192413	EIPR1/ENSG00000032389/clean	0	-	110	0.0193202	0	0	0	0	0	3	0	3	602	602	602	3.20923e-05	NonUniformIntronCover
2	3192581	3193998	EIPR1/ENSG00000032389/clean	0	-	10	0.774698	4.0302	1	4	9	4	0	0	4	532	532	532	0.0075186	NonUniformIntronCover
2	3194166	3196880	EIPR1/ENSG00000032389/clean	0	-	10	0.113166	0	0	0	0	29	2	0	2	284	284	284	0.000398312	NonUniformIntronCover
2	3197017	3214148	EIPR1/ENSG00000032389/clean	0	-	1444	0.167464	0	0	0	0	4	0	3.45	0	268	268	268	0.000624474	NonUniformIntronCover
2	3208957	3214148	EIPR1/ENSG00000032389/clean	0	-	70	0.145089	0	0	0	0	0	0	0	0	0	268	0	0.000541083	LowCover
2	3214248	3257298	EIPR1/ENSG00000032389/clean	0	-	1940	0.0130382	0	0	0	0	1	0	0	0	244	244	244	5.34324e-05	-
2	3214248	3338016	EIPR1/ENSG00000032389/clean	0	-	7313	0.030003	0	0	0	0	1	0	0	0	244	336	0	8.92867e-05	LowCover
2	3214169	3377647	EIPR1/ENSG00000032389/clean	0	-	14225	0.0255673	0	0	0	0	248	0	223.85	0	0	352	0	7.26292e-05	LowCover
2	3257455	3261714	EIPR1/ENSG00000032389/clean	0	-	50	0.180803	0	0	0	0	0	0	0	0	322	0	0	0.000561185	LowCover
2	3257455	3274338	EIPR1/ENSG00000032389/clean	0	-	464	0.0997016	0	0	0	0	0	0	0	0	322	13	13	0.000309536	MinorIsoform
2	3257455	3282469	EIPR1/ENSG00000032389/clean	0	-	555	0.0669283	0	0	0	0	0	0	0	0	322	0	0	0.000207809	LowCover
2	3257455	3318856	EIPR1/ENSG00000032389/clean	0	-	2692	0.0503841	0	0	0	0	0	0	0	0	322	9	0	0.000156448	LowCover
2	3257455	3338016	EIPR1/ENSG00000032389/clean	0	-	5216	0.0392594	0	0	0	0	0	0	0	0	322	336	309	0.00011683	-
2	3261827	3261916	EIPR1/ENSG00000032389/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
2	3262137	3318856	EIPR1/ENSG00000032389/clean	0	-	2298	0.0403704	0	0	0	0	0	0	0	0	0	9	0	0.00446557	LowCover
2	3274419	3338016	EIPR1/ENSG00000032389/clean	0	-	4671	0.0224179	0	0	0	0	0	0	0	0	23	336	23	6.67156e-05	MinorIsoform
2	3318958	3319220	EIPR1/ENSG00000032389/clean	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover
